Title,Series,Synopsis,URL,Genre,Category,Availability,Duration,Date,Column,Row,Box_Set,Channel,Box_Yes,Box_No,Title_Synopsis,Pid,episodeID,programmeID,seriesID,Is_Live,Is_Live_Yes,Is_Live_No,Actual_Genre
Bates Motel,,,https://www.bbc.co.uk/iplayer/episodes/p093qh6y/bates-motel?seriesId=p093qhf9,,Stream Every Episode,,,31/10/2021,1,4,yes,BBC One,1,0,Bates Motel -- ,p093qh6y,,p093qh6y,p093qhf9,no,0,1,"DRAMA > PSYCHOLOGICAL,DRAMA > HORROR & SUPERNATURAL"
People Just Do Nothing,,,https://www.bbc.co.uk/iplayer/episodes/b062r9t5/people-just-do-nothing?seriesId=p01xw0xp,,Stream Every Episode,,,31/10/2021,2,4,yes,BBC Three,1,0,People Just Do Nothing -- ,b062r9t5,,b062r9t5,p01xw0xp,no,0,1,COMEDY > CHARACTER
The Killing,,,https://www.bbc.co.uk/iplayer/episodes/b017h7m1/the-killing?seriesId=b00y4z22,,Stream Every Episode,,,31/10/2021,3,4,yes,BBC Four,1,0,The Killing -- ,b017h7m1,,b017h7m1,b00y4z22,no,0,1,"DRAMA > CRIME,DRAMA > THRILLER"
The Missing,,,https://www.bbc.co.uk/iplayer/episodes/b07xt09g/the-missing?seriesId=b04n9mtk,,Stream Every Episode,,,31/10/2021,4,4,yes,BBC One,1,0,The Missing -- ,b07xt09g,,b07xt09g,b04n9mtk,no,0,1,"DRAMA > RELATIONSHIPS & ROMANCE,DRAMA > CRIME,DRAMA > THRILLER"
I May Destroy You,,,https://www.bbc.co.uk/iplayer/episodes/m000jyxy/i-may-destroy-you?seriesId=m000jyxv,,Stream Every Episode,,,31/10/2021,5,4,yes,BBC One,1,0,I May Destroy You -- ,m000jyxy,,m000jyxy,m000jyxv,no,0,1,DRAMA
My Family,,,https://www.bbc.co.uk/iplayer/episodes/b006xj32/my-family?seriesId=p009sv2m,,Stream Every Episode,,,31/10/2021,6,4,yes,BBC One,1,0,My Family -- ,b006xj32,,b006xj32,p009sv2m,no,0,1,COMEDY > SITCOMS
The Pact,,,https://www.bbc.co.uk/iplayer/episodes/p09cwbzf/the-pact?seriesId=p09cv8rh,,Stream Every Episode,,,31/10/2021,7,4,yes,BBC One,1,0,The Pact -- ,p09cwbzf,,p09cwbzf,p09cv8rh,no,0,1,DRAMA > CRIME
Twenties,,,https://www.bbc.co.uk/iplayer/episodes/p08v50jt/twenties?seriesId=p08v50mc,,Stream Every Episode,,,31/10/2021,8,4,yes,BBC Three,1,0,Twenties -- ,p08v50jt,,p08v50jt,p08v50mc,no,0,1,COMEDY > CHARACTER
Normal People,,,https://www.bbc.co.uk/iplayer/episodes/p089g8rs/normal-people?seriesId=p089g8vv,,Stream Every Episode,,,31/10/2021,9,4,yes,BBC Three,1,0,Normal People -- ,p089g8rs,,p089g8rs,p089g8vv,no,0,1,DRAMA > RELATIONSHIPS & ROMANCE
Inside No. 9,,,https://www.bbc.co.uk/iplayer/episodes/b05p650r/inside-no-9?seriesId=b03tvq6m,,Stream Every Episode,,,31/10/2021,10,4,yes,BBC Two,1,0,Inside No. 9 -- ,b05p650r,,b05p650r,b03tvq6m,no,0,1,COMEDY > CHARACTER
Paris Police 1900,,,https://www.bbc.co.uk/iplayer/episodes/p09tqj2t/paris-police-1900?seriesId=p09tqj5v,,Stream Every Episode,,,31/10/2021,11,4,yes,BBC Four,1,0,Paris Police 1900 -- ,p09tqj2t,,p09tqj2t,p09tqj5v,no,0,1,"DRAMA > CRIME,DRAMA > CLASSIC & PERIOD"
A Very English Scandal,,,https://www.bbc.co.uk/iplayer/episodes/p065sk93/a-very-english-scandal?seriesId=m0001jfw,,Stream Every Episode,,,31/10/2021,12,4,yes,BBC One,1,0,A Very English Scandal -- ,p065sk93,,p065sk93,m0001jfw,no,0,1,"DRAMA > BIOGRAPHICAL,DRAMA > LEGAL & COURTROOM,DRAMA > POLITICAL"
Universe,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09ybnpd/universe,Science,Documentaries,,,31/10/2021,1,5,yes,BBC Two,1,0,Universe -- All episodes available now,p09ybnpd,,p09ybnpd,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > SCIENCE & TECHNOLOGY"
Who Do You Think You Are?,,Alex Scott,https://www.bbc.co.uk/iplayer/episode/m001106h/who-do-you-think-you-are-series-18-3-alex-scott,History,Documentaries,Available for 11 months,58 mins,31/10/2021,2,5,no,BBC One,0,1,Who Do You Think You Are? -- Alex Scott,m001106h,m001106h,b007t575,,no,0,1,"DOCUMENTARIES,FACTUAL > FAMILIES & RELATIONSHIPS,FACTUAL > HISTORY,FACTUAL > LIFE STORIES"
Climate Change: Ade on the Frontline,Ade on the Frontline,It's happening now,https://www.bbc.co.uk/iplayer/episodes/m000v4fb/climate-change-ade-on-the-frontline,Documentary,Documentaries,,,31/10/2021,3,5,yes,BBC Two,1,0,Climate Change: Ade on the Frontline -- It's happening now,m000v4fb,,m000v4fb,,no,0,1,"FACTUAL,DOCUMENTARIES"
Four Hours at the Capitol,,A high-stakes standoff,https://www.bbc.co.uk/iplayer/episode/m0010tff/four-hours-at-the-capitol,Documentary,Documentaries,Available for over a year,88 mins,31/10/2021,4,5,no,BBC Two,0,1,Four Hours at the Capitol -- A high-stakes standoff,m0010tff,,m0010tff,,no,0,1,"FACTUAL,FACTUAL > POLITICS"
Expert Witness,,Clues that cracked the case,https://www.bbc.co.uk/iplayer/episodes/p09vbzhs/expert-witness,Documentary,Documentaries,,,31/10/2021,5,5,no,,0,1,Expert Witness -- Clues that cracked the case,,,,,no,0,1,
The Mating Game,,David Attenborough explores spectacular seduction,https://www.bbc.co.uk/iplayer/episodes/m0010bc1/the-mating-game,Nature,Documentaries,,,31/10/2021,6,5,yes,BBC One,1,0,The Mating Game -- David Attenborough explores spectacular seduction,m0010bc1,,m0010bc1,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
Panorama,,Coca-Cola’s 100 Billion Bottle Problem,https://www.bbc.co.uk/iplayer/episode/m0010zxs/panorama-cocacolas-100-billion-bottle-problem,Current Affairs,Documentaries,Available for 11 months,29 mins,31/10/2021,7,5,no,BBC One,0,1,Panorama -- Coca-Cola’s 100 Billion Bottle Problem,m0010zxs,m0010zxs,b006t14n,,no,0,1,"FACTUAL,DOCUMENTARIES,NEWS"
Ambulance,,Control rooms to the crews,https://www.bbc.co.uk/iplayer/episodes/b09393rd/ambulance,Documentary,Documentaries,,,31/10/2021,8,5,yes,BBC One,1,0,Ambulance -- Control rooms to the crews,b09393rd,,b09393rd,,no,0,1,"DOCUMENTARIES,FACTUAL > HEALTH & WELLBEING"
Blair & Brown: The New Labour Revolution,The New Labour Revolution,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09wg9cm/blair-brown-the-new-labour-revolution,Documentary,Documentaries,,,31/10/2021,9,5,yes,BBC Two,1,0,Blair & Brown: The New Labour Revolution -- All episodes available now,p09wg9cm,,p09wg9cm,,no,0,1,"DOCUMENTARIES,FACTUAL > POLITICS"
Fever Pitch: The Rise of the Premier League,The Rise of the Premier League,A football revolution,https://www.bbc.co.uk/iplayer/episode/p09mqvrt/fever-pitch-the-rise-of-the-premier-league-series-1-episode-1,Sport,Documentaries,Available for 10 months,59 mins,31/10/2021,10,5,no,BBC Two,0,1,Fever Pitch: The Rise of the Premier League -- A football revolution,p09mqvrt,p09mqvrt,p09mqv7k,,no,0,1,"FACTUAL,SPORT > FOOTBALL"
The 80s - Music’s Greatest Decade?,,Beyond the power ballads,https://www.bbc.co.uk/iplayer/episodes/m00110rq/the-80s-musics-greatest-decade,Music,Documentaries,,,31/10/2021,11,5,yes,BBC Two,1,0,The 80s - Music’s Greatest Decade? -- Beyond the power ballads,m00110rq,,m00110rq,,no,0,1,"DOCUMENTARIES,MUSIC"
9/11: Inside the President's War Room,Inside the President's War Room,Terror. Tragedy. Chaos,https://www.bbc.co.uk/iplayer/episode/m000z8p5/911-inside-the-presidents-war-room,Documentary,Documentaries,Available for 10 months,89 mins,31/10/2021,12,5,no,BBC One,0,1,9/11: Inside the President's War Room -- Terror. Tragedy. Chaos,m000z8p5,,m000z8p5,,no,0,1,FACTUAL > POLITICS
Doctor Who: Flux,Flux,New episodes every Sunday,https://www.bbc.co.uk/iplayer/episodes/b006q2x0/doctor-who?seriesId=m00116r6,Sci-Fi,Drama,,,31/10/2021,1,6,yes,BBC One,1,0,Doctor Who: Flux -- New episodes every Sunday,b006q2x0,,b006q2x0,m00116r6,no,0,1,DRAMA > SCIFI & FANTASY
Bump,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09tw2x1/bump?seriesId=p09tw2yj,Comedy Drama,Drama,,,31/10/2021,2,6,yes,BBC One,1,0,Bump -- All episodes available now,p09tw2x1,,p09tw2x1,p09tw2yj,no,0,1,DRAMA > RELATIONSHIPS & ROMANCE
Paris Police 1900,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09tqj2t/paris-police-1900?seriesId=p09tqj5v,Crime Drama,Drama,,,31/10/2021,3,6,yes,BBC Four,1,0,Paris Police 1900 -- All episodes available now,p09tqj2t,,p09tqj2t,p09tqj5v,no,0,1,"DRAMA > CRIME,DRAMA > CLASSIC & PERIOD"
Impeachment: American Crime Story,American Crime Story,The scandal is not the story,https://www.bbc.co.uk/iplayer/episodes/m0010x44/impeachment-american-crime-story?seriesId=m0010t8q,Crime Drama,Drama,,,31/10/2021,4,6,yes,BBC Two,1,0,Impeachment: American Crime Story -- The scandal is not the story,m0010x44,,m0010x44,m0010t8q,no,0,1,"DRAMA,DRAMA > CRIME"
Ridley Road,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09vc7k4/ridley-road?seriesId=p09vc7mq,Drama,Drama,,,31/10/2021,5,6,yes,BBC One,1,0,Ridley Road -- All episodes available now,p09vc7k4,,p09vc7k4,p09vc7mq,no,0,1,"DRAMA,DRAMA > CLASSIC & PERIOD"
The Trick,,The crime that stole a decade,https://www.bbc.co.uk/iplayer/episode/m0010s10/the-trick,Drama,Drama,Available for 11 months,89 mins,31/10/2021,6,6,no,BBC One,0,1,The Trick -- The crime that stole a decade,m0010s10,,m0010s10,,no,0,1,DRAMA
Guilt: Series 2,Series 2,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/m0009qm4/guilt?seriesId=m0010lbl,Crime Drama,Drama,,,31/10/2021,7,6,yes,BBC Scotland,1,0,Guilt: Series 2 -- All episodes available now,m0009qm4,,m0009qm4,m0010lbl,no,0,1,"DRAMA,DRAMA > CRIME"
